TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
AcademicYear                                                                                                                     AYID                                                                                                                             uniqueidentifier                                                                                                                
AcademicYear                                                                                                                     FullDuration                                                                                                                     nvarchar                                                                                                                        
AcademicYear                                                                                                                     ShortDuration                                                                                                                    nvarchar                                                                                                                        
AcademicYear                                                                                                                     IsCurrent                                                                                                                        bit                                                                                                                             
AcademicYear                                                                                                                     CollegeId                                                                                                                        uniqueidentifier                                                                                                                
AcademicYear                                                                                                                     CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
AcademicYear                                                                                                                     CreatedAt                                                                                                                        datetime2                                                                                                                       
AcademicYear                                                                                                                     UpdatedAt                                                                                                                        datetime2                                                                                                                       
AcademicYear                                                                                                                     IsDeleted                                                                                                                        bit                                                                                                                             
AcademicYear                                                                                                                     DeletedAt                                                                                                                        datetime2                                                                                                                       
College                                                                                                                          CollegeId                                                                                                                        uniqueidentifier                                                                                                                
College                                                                                                                          Name                                                                                                                             nvarchar                                                                                                                        
College                                                                                                                          CollegeCode                                                                                                                      nvarchar                                                                                                                        
College                                                                                                                          CollegeCenter                                                                                                                    nvarchar                                                                                                                        
College                                                                                                                          Address                                                                                                                          nvarchar                                                                                                                        
College                                                                                                                          LogoUrl                                                                                                                          nvarchar                                                                                                                        
College                                                                                                                          LogoBannerUrl                                                                                                                    nvarchar                                                                                                                        
College                                                                                                                          ContactEmail                                                                                                                     nvarchar                                                                                                                        
College                                                                                                                          ContactPhone                                                                                                                     nvarchar                                                                                                                        
College                                                                                                                          CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
College                                                                                                                          CreatedAt                                                                                                                        datetime2                                                                                                                       
College                                                                                                                          UpdatedAt                                                                                                                        datetime2                                                                                                                       
College                                                                                                                          IsDeleted                                                                                                                        bit                                                                                                                             
College                                                                                                                          DeletedAt                                                                                                                        datetime2                                                                                                                       
CourseMaster                                                                                                                     CourseId                                                                                                                         uniqueidentifier                                                                                                                
CourseMaster                                                                                                                     Name                                                                                                                             nvarchar                                                                                                                        
CourseMaster                                                                                                                     CourseCode                                                                                                                       nvarchar                                                                                                                        
CourseMaster                                                                                                                     CollegeId                                                                                                                        uniqueidentifier                                                                                                                
CourseMaster                                                                                                                     CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
CourseMaster                                                                                                                     CreatedAt                                                                                                                        datetime2                                                                                                                       
CourseMaster                                                                                                                     UpdatedAt                                                                                                                        datetime2                                                                                                                       
CourseMaster                                                                                                                     IsDeleted                                                                                                                        bit                                                                                                                             
CourseMaster                                                                                                                     DeletedAt                                                                                                                        datetime2                                                                                                                       
ExamMaster                                                                                                                       ExamId                                                                                                                           uniqueidentifier                                                                                                                
ExamMaster                                                                                                                       Name                                                                                                                             nvarchar                                                                                                                        
ExamMaster                                                                                                                       ExamType                                                                                                                         nvarchar                                                                                                                        
ExamMaster                                                                                                                       Semester                                                                                                                         nvarchar                                                                                                                        
ExamMaster                                                                                                                       CourseId                                                                                                                         uniqueidentifier                                                                                                                
ExamMaster                                                                                                                       AcademicYearAYID                                                                                                                 uniqueidentifier                                                                                                                
ExamMaster                                                                                                                       CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
ExamMaster                                                                                                                       CreatedAt                                                                                                                        datetime2                                                                                                                       
ExamMaster                                                                                                                       UpdatedAt                                                                                                                        datetime2                                                                                                                       
ExamMaster                                                                                                                       IsDeleted                                                                                                                        bit                                                                                                                             
ExamMaster                                                                                                                       DeletedAt                                                                                                                        datetime2                                                                                                                       
ExamMaster                                                                                                                       IsActive                                                                                                                         bit                                                                                                                             
ExamMaster                                                                                                                       RevaluationForExamId                                                                                                             uniqueidentifier                                                                                                                
ExamMaster                                                                                                                       IsLocked                                                                                                                         bit                                                                                                                             
MarksMaster                                                                                                                      MarksId                                                                                                                          uniqueidentifier                                                                                                                
MarksMaster                                                                                                                      StudentID                                                                                                                        nvarchar                                                                                                                        
MarksMaster                                                                                                                      QuotaType                                                                                                                        nvarchar                                                                                                                        
MarksMaster                                                                                                                      SeatNo                                                                                                                           nvarchar                                                                                                                        
MarksMaster                                                                                                                      SemesterId                                                                                                                       nvarchar                                                                                                                        
MarksMaster                                                                                                                      OverallRemark                                                                                                                    nvarchar                                                                                                                        
MarksMaster                                                                                                                      StdMstId                                                                                                                         uniqueidentifier                                                                                                                
MarksMaster                                                                                                                      ExamId                                                                                                                           uniqueidentifier                                                                                                                
MarksMaster                                                                                                                      AcademicYearAYID                                                                                                                 uniqueidentifier                                                                                                                
MarksMaster                                                                                                                      CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
MarksMaster                                                                                                                      CreatedAt                                                                                                                        datetime2                                                                                                                       
MarksMaster                                                                                                                      UpdatedAt                                                                                                                        datetime2                                                                                                                       
MarksMaster                                                                                                                      IsDeleted                                                                                                                        bit                                                                                                                             
MarksMaster                                                                                                                      DeletedAt                                                                                                                        datetime2                                                                                                                       
MarksMaster                                                                                                                      Pattern                                                                                                                          nvarchar                                                                                                                        
MarksMaster                                                                                                                      CGPI                                                                                                                             decimal                                                                                                                         
MarksMaster                                                                                                                      HMCheck                                                                                                                          bit                                                                                                                             
MarksMaster                                                                                                                      ResultRemark                                                                                                                     nvarchar                                                                                                                        
MarksMaster                                                                                                                      SGPI                                                                                                                             decimal                                                                                                                         
MarksMaster                                                                                                                      Rank                                                                                                                             int                                                                                                                             
PatternMaster                                                                                                                    PatternId                                                                                                                        uniqueidentifier                                                                                                                
PatternMaster                                                                                                                    PatternName                                                                                                                      nvarchar                                                                                                                        
PatternMaster                                                                                                                    Description                                                                                                                      nvarchar                                                                                                                        
PatternMaster                                                                                                                    CreatedAt                                                                                                                        datetime2                                                                                                                       
PatternMaster                                                                                                                    CollegeId                                                                                                                        uniqueidentifier                                                                                                                
PatternMaster                                                                                                                    CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
PatternMaster                                                                                                                    UpdatedAt                                                                                                                        datetime2                                                                                                                       
PatternMaster                                                                                                                    IsDeleted                                                                                                                        bit                                                                                                                             
PatternMaster                                                                                                                    DeletedAt                                                                                                                        datetime2                                                                                                                       
Rule                                                                                                                             RuleId                                                                                                                           uniqueidentifier                                                                                                                
Rule                                                                                                                             Name                                                                                                                             nvarchar                                                                                                                        
Rule                                                                                                                             Priority                                                                                                                         int                                                                                                                             
Rule                                                                                                                             IsEnabled                                                                                                                        bit                                                                                                                             
Rule                                                                                                                             RuleSetId                                                                                                                        uniqueidentifier                                                                                                                
Rule                                                                                                                             CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
Rule                                                                                                                             CreatedAt                                                                                                                        datetime2                                                                                                                       
Rule                                                                                                                             UpdatedAt                                                                                                                        datetime2                                                                                                                       
Rule                                                                                                                             IsDeleted                                                                                                                        bit                                                                                                                             
Rule                                                                                                                             DeletedAt                                                                                                                        datetime2                                                                                                                       
Rule                                                                                                                             OrdinanceSymbol                                                                                                                  nvarchar                                                                                                                        
Rule                                                                                                                             StopOnSuccess                                                                                                                    bit                                                                                                                             
RuleAction                                                                                                                       ActionId                                                                                                                         uniqueidentifier                                                                                                                
RuleAction                                                                                                                       ActionType                                                                                                                       nvarchar                                                                                                                        
RuleAction                                                                                                                       CalculationMode                                                                                                                  nvarchar                                                                                                                        
RuleAction                                                                                                                       Param1Type                                                                                                                       nvarchar                                                                                                                        
RuleAction                                                                                                                       Param1Value                                                                                                                      decimal                                                                                                                         
RuleAction                                                                                                                       Param2Type                                                                                                                       nvarchar                                                                                                                        
RuleAction                                                                                                                       Param2Value                                                                                                                      decimal                                                                                                                         
RuleAction                                                                                                                       MaxLimit                                                                                                                         decimal                                                                                                                         
RuleAction                                                                                                                       MaxTargetCount                                                                                                                   int                                                                                                                             
RuleAction                                                                                                                       Target                                                                                                                           nvarchar                                                                                                                        
RuleAction                                                                                                                       RuleId                                                                                                                           uniqueidentifier                                                                                                                
RuleAction                                                                                                                       CreatedBy                                                                                                                        uniqueidentifier                                                                                                                
RuleAction                                                                                                                       CreatedAt                                                                                                                        datetime2                                                                                                                       
RuleAction                                                                                                                       UpdatedAt                                                                                                                        datetime2                                                                                                                       
RuleAction                                                                                                                       IsDeleted                                                                                                                        bit                                                                                                                             
